;;;Valid from 01.06.2020;Действительно с 01.06.2020;;
;;;;;;
;;;Price list for goods;Прейскурант на товары;;
;;;of HILL’S PET NUTRITION LLC;"ООО ""ХИЛЛС ПЕТ НУТРИШН""";;
;;;;;;
;;Артикул / SKU; Наименование товара / SKU English Name;Спецификация товара / SKU Russian Name;Ставка НДС, %;Отпускная цена с НДС (руб.) 
;Hill's Prescription Diet Canine - сухой диетический корм для собак;;;;;
;;10562U;PD Ca DermDef 6x2kg cs;PD корм д/соб д/защиты кожи 6/2кг;20%;1 972,59  
;;10560N;PD Ca DermDef 12kg bg;PD корм д/соб д/защиты кожи 12кг;20%;9 471,30  
;;2097U;PD Ca Meta 6x1.5kg cs;PD Meta корм д/соб коррек. веса 6/1,5кг;20%;1 371,77  
;;2098R;PD Ca Meta 4kg bg;PD Meta корм д/соб коррек. веса 4кг;20%;2 907,91  
;;3353U;PD Ca Meta Mini 6x1.5kg cs;PD Meta корм д/соб мини кор веса 6/1,5кг;20%;1 405,51  
;;10039N;PD Ca Meta+Mob 12kg bg;PD Meta+ корм д/соб кор веса+сустав 12кг;20%;8 175,68  
;;8654U;PD Ca c/d 6x2kg cs;PD c/d корм д/соб при струвитах 6/2кг;20%;1 654,71  
;;9176N;PD Ca c/d 12kg bg;PD c/d корм д/соб при струвитах 12кг;20%;7 780,93  
;;9117U;PD Ca d/d Duck&R 6x2kg cs;PD d/d корм д/соб аллерг (утк/рис) 6/2кг;20%;1 971,86  
;;9118R;PD Ca d/d Duck&R 5kg bg;PD d/d корм д/соб аллерг (утк/рис) 5кг;20%;4 699,50  
;;9179N;PD Ca d/d Duck&R 12kg bg;PD d/d корм д/соб аллерг (утк/рис) 12кг;20%;9 466,96  
;;9114U;PD Ca d/d Sal&R 6x2kg cs;PD d/d корм д/соб аллерг (лос/рис) 6/2кг;20%;1 971,86  
;;9178N;PD Ca d/d Sal&R 12kg cs;PD d/d корм д/соб аллерг (лос/рис) 12кг;20%;9 466,96  
;;604457;PD Ca GIBio 6x1.5kg cs;PD Biome корм д/соб ЖКТ-Биом 6/1,5кг;20%;1 803,40  
;;604458;PD Ca GIBio 10kg bg;PD Biome корм д/соб ЖКТ-Биом 10кг;20%;8 464,88  
;;8652U;PD Ca i/d 6x2kg cs;PD i/d корм д/соб д/пищ. тракта 6/2кг;20%;1 839,55  
;;9181N;PD Ca i/d 12kg bg;PD i/d корм д/соб д/пищ. тракта 12кг;20%;8 634,07  
;;1803U;PD Ca i/d LF 6x1.5kg cs;PD i/d корм д/соб д/ЖКТ н/калор 6/1,5кг;20%;1 476,85  
;;1809N;PD Ca i/d LF 12kg bg;PD i/d корм д/соб д/ЖКТ н/калор 12кг;20%;9 562,40  
;;10469U;PD Ca i/d Strs Mini 6x1.5kg cs;PD i/d корм д/соб ЖКТ+стресс мин 6/1,5кг;20%;1 508,66  
;;10470R;PD Ca i/d Strs Mini 5kg bg;PD i/d корм д/соб ЖКТ+стресс мини 5кг;20%;4 592,50  
;;4516U;PD Ca j/d 6x2kg cs;PD j/d корм д/соб д/сустав 6/2кг;20%;1 880,04  
;;9183N;PD Ca j/d 12kg bg;PD j/d корм д/соб д/сустав 12кг;20%;8 527,06  
;;8658U;PD Ca k/d 6x2kg cs;PD k/d корм д/соб д/почек 6/2кг;20%;1 938,85  
;;9182N;PD Ca k/d 12kg bg;PD k/d корм д/соб д/почек 12кг;20%;8 942,06  
;;10746N;PD Ca k/d+mob 12kg bg;PD k/d+Mob корм д/соб поч+суставы 12кг;20%;9 328,15  
;;8660U;PD Ca l/d 6x2kg cs;PD l/d корм д/соб д/печени 6/2кг;20%;1 976,44  
;;7339R;PD Ca l/d 5kg bg;PD l/d корм д/соб д/печени 5кг;20%;4 677,81  
;;8669N;PD Ca l/d 12kg bg;PD l/d корм д/соб д/печени 12кг;20%;8 315,95  
;;4023R;PD Ca t/d 3kg bg;PD t/d корм д/соб д/зубов 3кг;20%;2 524,72  
;;4378R;PD Ca u/d 5kg bg;PD u/d корм д/соб при поч. недост. 5кг;20%;4 677,81  
;;6656U;PD Ca w/d 6x1.5kg cs;PD w/d корм д/соб при диабете 6/1,5кг;20%;1 559,03  
;;6662N;PD Ca w/d 12kg bg;PD w/d корм д/соб при диабете 12кг;20%;8 386,80  
;;10178U;PD Ca z/d Mini 6x1.5kg cs;PD z/d корм д/соб мини аллерг  6/1,5кг;20%;1 631,33  
;;8887R;PD Ca z/d 3kg bg;PD z/d корм д/соб аллерг 3кг;20%;3 004,79  
;;5341N;PD Ca z/d 10kg bg;PD z/d корм д/соб аллерг 10кг;20%;7 763,57  
;;;;;;
;Hill's Prescription Diet Feline - сухой диетический корм для кошек;;;;;
;;2146W;PD Fel Meta 6x250g cs;PD Meta корм д/кош коррек. веса 6/250г;20%;308,00  
;;2147U;PD Fel Meta 6x1.5kg cs;PD Meta корм д/кош коррек. веса 6/1,5кг;20%;1 731,83  
;;2148R;PD Fel Meta 4kg bg;PD Meta корм д/кош коррек. веса 4кг;20%;3 072,75  
;;10544U;PD Fel Meta+Uri Strs 6x1.5kg cs;PD Meta+ корм д/кош вес+стресс 6/1,5кг;20%;1 662,66  
;;5482W;PD Fel c/d 6x400g cs;PD c/d корм д/кош урол. (с кур) 6/400г;20%;495,01  
;;9185U;PD Fel c/d Ckn 6x1.5kg cs;PD c/d корм д/кош урол. (с кур) 6/1,5кг;20%;1 554,45  
;;9043R;PD Fel c/d Ckn 5kg bg;PD c/d корм д/кош урол. (с кур) 5кг;20%;4 489,83  
;;9044N;PD Fel c/d Ckn 10kg bg;PD c/d корм д/кош урол. (с кур) 10кг;20%;8 693,35  
;;9184U;PD Fel c/d OF 6x1.5kg cs;PD c/d корм д/кош урол. (с рыб) 6/1,5кг;20%;1 547,22  
;;3148W;PD Fel c/d Mul Strs 6x400g cs;PD c/d корм д/кош при стрессе 6/400г;20%;519,84  
;;2842U;PD Fel c/d Mul Strs 6x1.5kg cs;PD c/d корм д/кош при стрессе 6/1,5кг;20%;1 547,22  
;;604445;PD Fel GIBio 6x1.5kg cs;PD Biome корм д/кош ЖКТ-Биом 6/1,5кг;20%;2 100,07  
;;604456;PD Fel GIBio 5kg bg;PD Biome корм д/кош ЖКТ-Биом 5кг;20%;6 635,69  
;;5483W;PD Fel i/d 6x400g cs;PD i/d корм д/кош д/пищ. тракта 6/400г;20%;551,89  
;;9188U;PD Fel i/d 6x1.5kg cs;PD i/d корм д/кош д/пищ. тракта 6/1,5кг;20%;1 785,09  
;;4663R;PD Fel i/d 5kg bg;PD i/d корм д/кош д/пищ. тракта 5кг;20%;5 642,29  
;;6135U;PD Fel j/d 6x2kg cs;PD j/d корм д/кош д/сустав 6/2кг;20%;2 313,84  
;;5484W;PD Fel k/d 6x400g cs;PD k/d корм д/кош д/почек 6/400г;20%;548,52  
;;11141Y;PD Fel k/d Tna 6x400g cs;PD k/d корм д/кош д/почек (тун) 6/400г;20%;542,97  
;;9186U;PD Fel k/d 6x1.5kg cs;PD k/d корм д/кош д/почек 6/1,5кг;20%;1 856,42  
;;11142U;PD Fel k/d Tna 6x1.5kg cs;PD k/d корм д/кош д/почек (тун) 6/1,5кг;20%;1 854,98  
;;4308R;PD Fel k/d 5kg bg;PD k/d корм д/кош д/почек 5кг;20%;5 000,27  
;;10748U;PD Fel k/d+mob 6x2kg cs;PD k/d+Mob корм д/кош поч+суставы 6/2кг;20%;2 403,01  
;;8695U;PD Fel l/d 6x1.5kg cs;PD l/d корм д/кош д/печени 6/1,5кг;20%;1 987,05  
;;8685U;PD Fel m/d 6x1.5kg cs;PD m/d корм д/кош при диабете 6/1,5кг;20%;1 874,98  
;;9189U;PD Fel s/d 6x1.5kg cs;PD s/d корм д/кош д/раств струв 6/1,5кг;20%;1 607,71  
;;4322R;PD Fel s/d 5kg bg;PD s/d корм д/кош д/раств струв 5кг;20%;4 706,73  
;;8688U;PD Fel t/d 6x1.5kg cs;PD t/d корм д/кош д/зубов 6/1,5кг;20%;1 469,62  
;;9191U;PD Fel w/d 6x1.5kg cs;PD w/d корм д/кош поддерж. веса 6/1,5кг;20%;1 812,08  
;;4328R;PD Fel w/d 5kg bg;PD w/d корм д/кош поддерж. веса 5кг;20%;4 291,73  
;;1680U;PD Fel y/d 6x1.5kg cs;PD y/d корм д/кош гипертиреоз 6/1,5кг;20%;3 097,57  
;;4565U;PD Fel z/d LA 6x2kg cs;PD z/d Low All. корм д/кош аллерг 6/2кг;20%;2 349,75  
;;;;;;
;Hill's Science Plan Canine - сухой повседневный корм для собак;;;;;
;;604229;SP Pup Sm&Min Ckn 6x300g cs;SP корм д/щен декор (кур) 6/300г;20%;224,13  
;;604731;SP Pup Sm&Min Ckn 6x1.5kg cs;SP корм д/щен декор (кур) 6/1,5кг;20%;924,48  
;;5220X;SP Pup HD Mini Ckn 4x1kg cs;SP корм д/щен мини (кур) 4/1кг;20%;575,87  
;;604345;SP Pup Sm&Min Ckn 4x3kg cs;SP корм д/щен декор (кур) 4/3кг;20%;1 686,40  
;;604266;SP Pup Md Ckn 4x800g cs;SP корм д/щен (кур) 4/800г;20%;462,00  
;;604268;SP Pup Md Ckn 12kg bg;SP корм д/щен (кур) 12кг;20%;5 212,83  
;;604269;SP Pup Md L&R 4x800g cs;SP корм д/щен (ягн) 4/800г;20%;522,73  
;;604605;SP Pup Md L&R 4x2.5kg cs;SP корм д/щен (ягн) 4/2,5кг;20%;1 391,41  
;;604271;SP Pup Md L&R 12kg bg;SP корм д/щен (ягн) 12кг;20%;6 116,58  
;;604304;SP Pup LB Ckn 4x2.5kg cs;SP корм д/щен кр/пор (кур) 4/2,5кг;20%;1 261,64  
;;604305;SP Pup LB Ckn 12kg bg;SP корм д/щен кр/пор (кур) 12кг;20%;5 438,41  
;;604231;SP Ca Adt Sm&Min Ckn 6x300g cs;SP корм д/взр соб декор (кур) 6/300г;20%;217,14  
;;604734;SP Ca Adt Sm&Min Ckn 6x1.5kg cs;SP корм д/взр соб декор (кур) 6/1,5кг;20%;872,42  
;;604735;SP Ca Adt Sm&Min Ckn 4x3kg cs;SP корм д/взр соб декор (кур) 4/3кг;20%;1 640,49  
;;604233;SP Ca Adt Sm&Min Ckn 6kg bg;SP корм д/взр соб декор (кур) 6кг;20%;3 119,02  
;;604234;SP Ca Adt Sm&Min L&R 6x300g cs;SP корм д/взр соб декор (ягн) 6/300г;20%;233,53  
;;604732;SP Ca Adt Sm&Min L&R 6x1.5kg cs;SP корм д/взр соб декор (ягн) 6/1,5кг;20%;954,84  
;;604319;SP Ca Adt Sm&Min L&R 6kg bg;SP корм д/взр соб декор (ягн) 6кг;20%;3 486,31  
;;604274;SP Ca Adt Md Ckn 4x2.5kg cs;SP корм д/взр соб (кур) 4/2,5кг;20%;1 269,23  
;;604275;SP Ca Adt Md Ckn 12kg bg;SP корм д/взр соб (кур) 12кг;20%;5 176,68  
;;604279;SP Ca Adt Md Tna&R 4x2.5kg cs;SP корм д/взр соб (тун/рис) 4/2,5кг;20%;1 269,23  
;;604280;SP Ca Adt Md Tna&R 12kg bg;SP корм д/взр соб (тун/рис) 12кг;20%;5 176,68  
;;604712;SP Ca Adt Md L&R 4x2.5kg cs;SP корм д/взр соб (ягн) 4/2,5кг;20%;1 464,08  
;;604277;SP Ca Adt Md L&R 12kg bg;SP корм д/взр соб (ягн) 12кг;20%;5 727,61  
;;604306;SP Ca Adt LB Ckn 4x2.5kg cs;SP корм д/взр соб кр/пор (кур) 4/2,5кг;20%;1 269,23  
;;604307;SP Ca Adt LB Ckn 12kg bg;SP корм д/взр соб кр/пор (кур) 12кг;20%;5 176,68  
;;604310;SP Ca Adt LB L&R 12kg bg;SP корм д/взр соб кр/пор (ягн) 12кг;20%;5 727,61  
;;604388;SP Ca MA Sm&Min Ckn 6x300g cs;SP корм д/пож соб 7+ декор (кур) 6/300г;20%;218,35  
;;604237;SP Ca MA Sm&Min Ckn 6x1.5kg cs;SP корм д/пож соб 7+ декор (кур) 6/1,5кг;20%;900,14  
;;604286;SP Ca MA Md Ckn 12kg bg;SP корм д/пож соб 7+ (кур) 12кг;20%;5 692,90  
;;604287;SP Ca MA Md L&R 4x2.5kg cs;SP корм д/пож соб 7+ (ягн) 4/2,5кг;20%;1 456,48  
;;604288;SP Ca MA Md L&R 12kg bg;SP корм д/пож соб 7+ (ягн) 12кг;20%;6 268,41  
;;604313;SP Ca MA LB Ckn 12kg bg;SP корм д/пож соб кр/пор 6+ (кур) 12кг;20%;5 622,05  
;;604260;SP Ca A7+ YV Sm&Min Ckn 6x250g cs;SP корм д/пож соб юн декор 7+ 6/250г;20%;211,84  
;;604261;SP Ca A7+ YV Sm&Min Ckn 6x1.5kg cs;SP корм д/пож соб юн декор 7+ 6/1,5кг;20%;975,09  
;;604329;SP Ca A7+ YV Md Ckn 4x800g cs;SP корм д/пож соб юность 7+ 4/800г;20%;562,49  
;;604327;SP Ca A7+ YV Md Ckn 12kg bg;SP корм д/пож соб юность 7+ 12кг;20%;5 944,51  
;;604236;SP Ca Adt Lt Sm&Min Ckn 6x1.5kg cs;SP корм д/взр соб декор н/калор 6/1,5кг;20%;979,91  
;;604297;SP Ca Adt PerWgt Md Ckn 12kg bg;SP корм д/взр соб идеал. вес 12кг;20%;6 621,23  
;;604733;SP Ca Adt SenSt&Sk Sm&MinCkn 6x1.5kg cs;SP корм д/взр соб декор деликат 6/1,5кг;20%;975,09  
;;604342;SP Ca Adt SenSt&Sk Sm&Min Ckn 4x3kg cs;SP корм д/взр соб декор деликат 4/3кг;20%;1 832,44  
;;604301;SP Ca Adt SenSt&Sk Md Ckn 12kg bg;SP корм д/соб деликат 12кг;20%;5 990,78  
;;604298;SP Ca Adt Perf 12kg bg;SP корм д/активных собак 12кг;20%;5 627,83  
;;;;;;
;Hill's Science Plan Feline - сухой повседневный корм для кошек;;;;;
;;604046;SP Ktn Ckn 6x300g cs;SP корм д/котят (кур) 6/300г;20%;251,85  
;;604714;SP Ktn Ckn 6x1.5kg cs;SP корм д/котят (кур) 6/1,5кг;20%;1 227,65  
;;604049;SP Ktn Ckn 4x3kg cs;SP корм д/котят (кур) 4/3кг;20%;2 214,91  
;;604050;SP Ktn Ckn 7kg bg;SP корм д/котят (кур) 7кг;20%;4 780,48  
;;604713;SP Ktn Tna 6x300g cs;SP корм д/котят (тун) 6/300г;20%;251,85  
;;604715;SP Ktn Tna 6x1.5kg cs;SP корм д/котят (тун) 6/1,5кг;20%;1 227,65  
;;604173;SP Ktn Tna 7kg bg;SP корм д/котят (тун) 7кг;20%;4 780,48  
;;604716;SP Fel Adt Ckn 6x300g cs;SP корм д/взр кош (кур) 6/300г;20%;279,32  
;;604718;SP Fel Adt Ckn 6x1.5kg cs;SP корм д/взр кош (кур) 6/1,5кг;20%;1 212,95  
;;604058;SP Fel Adt Ckn 4x3kg cs;SP корм д/взр кош (кур) 4/3кг;20%;2 183,46  
;;604174;SP Fel Adt Ckn 10kg bg;SP корм д/взр кош (кур) 10кг;20%;6 663,17  
;;604063;SP Fel Adt Ckn 15kg bg;SP корм д/взр кош (кур) 15кг;20%;9 533,48  
;;604599;SP Fel Adt Duck 6x300g cs;SP корм д/взр кош (утк) 6/300г;20%;279,32  
;;604637;SP Fel Adt Duck 6x1.5kg cs;SP корм д/взр кош (утк) 6/1,5кг;20%;1 212,95  
;;604710;SP Fel Adt Duck 4x3kg cs;SP корм д/взр кош (утк) 4/3кг;20%;2 182,01  
;;604861;SP Fel Adt Duck 10kg bg;SP корм д/взр кош (утк) 10кг;20%;6 663,17  
;;604717;SP Fel Adt Tna 6x300g cs;SP корм д/взр кош (тун) 6/300г;20%;279,32  
;;604720;SP Fel Adt Tna 6x1.5kg cs;SP корм д/взр кош (тун) 6/1,5кг;20%;1 212,95  
;;604075;SP Fel Adt Tna 4x3kg cs;SP корм д/взр кош (тун) 4/3кг;20%;2 183,10  
;;604176;SP Fel Adt Tna 10kg bg;SP корм д/взр кош (тун) 10кг;20%;6 663,17  
