Код;Наименование;Упак.;Цена, руб;Заказ
;РОЯЛ КАНИН  (Корм для животных);;;
;Felin Healfh Nutrition;;;
;Breed feline;;;
440373;Бенгал 0,4 кг;12;341;
443324;Бенгал 2 кг;6;1478;
386777;Бритиш Шортхэйр    0,4 кг;12;341;
386778;Бритиш Шортхэйр   2 кг;6;1478;
386779;Бритиш Шортхэйр   4 кг;4;2836;
386776;Бритиш Шортхэйр  10кг.;1;6768;
418425;Киттен Бритиш Шортхэйр    0,4 кг;12;341;
418427;Киттен Бритиш Шортхэйр    10 кг;1;6768;
418426;Киттен Бритиш Шортхэйр    2 кг;6;1478;
410120;Киттен Мэйн Кун   0,4 кг;12;341;
421567;Киттен Мэйн Кун   10кг;1;6768;
421588;Киттен Мэйн Кун   2кг;6;1478;
386765;Киттен Персиан   0,4 кг;12;341;
386766;Киттен Персиан  2 кг;6;1478;
476412;Киттен Сфинкс 0,4 кг;12;341;
475068;Киттен Сфинкс   2 кг;6;1478;
386783;Мэйн Кун    0,4 кг;12;341;
386782;Мэйн Кун   2 кг;6;1478;
451265;Мэйн Кун   4 кг;4;2836;
386785;Мэйн Кун  10 кг;1;6768;
445287;Норвежская лесная Эдалт 0,4 кг;12;341;
440859;Норвежская лесная Эдалт 2 кг;6;1478;
386770;Персиан   0,4 кг;12;341;
386771;Персиан  2 кг;6;1478;
386769;Персиан  4 кг;4;2836;
386772;Персиан 10кг;1;6768;
386788;Сиамиз    0,4 кг;12;341;
386789;Сиамиз   2 кг;6;1478;
386787;Сибирская 0,4;12;341;
386768;Сибирская 2кг;1;1478;
386773;Сфинкс    0,4 кг;12;341;
386774;Сфинкс   2 кг;6;1478;
386775;Сфинкс  10кг;1;6768;
;Growth (Дети);;;
386677;Киттен   0,4 кг;12;301;
386678;Киттен  2 кг;6;1321;
386679;Киттен  4 кг;4;2522;
386680;Киттен 10кг;1;6028;
414496;Киттен Стерилайзд 0,4 кг;12;301;
414493;Киттен Стерилайзд 2 кг;6;1321;
475113;Киттен Стерилайзд 3,5 кг;4;2205;
417913;Мазер энд Бебикэт  0,4 кг;12;301;
418094;Мазер энд Бебикэт  2 кг;6;1321;
421568;Мазер энд Бебикэт  4 кг;4;2522;
;Indoor;;;
386698;Индор   0,4 кг;12;311;
386701;Индор  10кг;1;6223;
386699;Индор  2 кг;6;1352;
386700;Индор  4 кг;4;2587;
405446;Индор +7  400г;12;311;
403001;Индор +7 1,5 кг;6;1013;
404885;Индор +7 3,5 кг;4;2261;
428193;Индор Апетайт Контрол 0,4 кг;12;311;
425314;Индор Апетайт Контрол 2 кг;6;1352;
386702;Индор Лонг Хэйр   0,4 кг;12;311;
386705;Индор Лонг Хэйр  2 кг;6;1352;
386708;Индор Лонг Хэйр 10кг;1;6223;
;InOutdoor;;;
386685;Фит  0,4 кг;12;273;
386688;Фит 15 кг;1;7768;
386686;Фит 2 кг;6;1138;
386687;Фит 4 кг;4;2192;
;Special;;;
386724;Арома Эксиджент 0,4 кг;12;311;
386725;Арома Эксиджент 10кг;1;6223;
386723;Арома Эксиджент 2 кг;6;1352;
386735;Дайджестив Кэа 0,4 кг;12;346;
386736;Дайджестив Кэа 2 кг;6;1507;
386738;Дайджестив Кэа 10кг;1;6908;
386747;Лайт вейт кэа 0,4 кг;12;346;
386750;Лайт вейт кэа 10 кг.;1;6908;
386748;Лайт вейт кэа 2 кг;6;1507;
407440;Лайт вейт кэа 3,5 кг;4;2529;
386743;Орал Кэа 0,4 кг;12;346;
386744;Орал Кэа 1,5 кг;6;1130;
386746;Орал Кэа 8 кг;1;5422;
386732;Протеин Эксиджент  0,4 кг;12;311;
386731;Протеин Эксиджент  2 кг;6;1352;
457411;Протеин Эксиджент  4 кг;6;2587;
386733;Протеин Эксиджент 10 кг;1;6223;
386714;Сенсибл  0,4 кг;12;284;
386717;Сенсибл 15 кг.;1;8447;
386715;Сенсибл 2 кг;6;1232;
386716;Сенсибл 4 кг;4;2365;
386719;Стерилайзд  0,4 кг;12;284;
386718;Стерилайзд  10 кг;1;5632;
386720;Стерилайзд  2 кг;6;1232;
386721;Стерилайзд  4 кг;4;2365;
405447;Стерилайзд +7  400г;12;284;
404640;Стерилайзд +7 1,5 кг;6;925;
425028;Стерилайзд +7 3,5 кг;4;2070;
415527;Стерилайзд Эйджинг 12 + 0,4 кг;12;284;
416401;Стерилайзд Эйджинг 12 + 2 кг;6;1232;
415526;Стерилайзд Эйджинг 12 + 4 кг;4;2365;
386727;Сэйвор Эксиджент 0,4 кг;12;311;
386726;Сэйвор Эксиджент 10кг;1;6223;
386728;Сэйвор Эксиджент 2 кг;6;1352;
439722;Сэйвор Эксиджент 4 кг;4;2587;
438721;Уринари кэа  0,4 кг;12;346;
438722;Уринари кэа 2 кг;6;1507;
438723;Уринари кэа 4 кг;4;2894;
386740;Хэйр энд Скин Кэа 0,4 кг;12;346;
421373;Хэйр энд Скин Кэа 10 кг;1;6908;
386741;Хэйр энд Скин Кэа 2 кг;6;1507;
386751;Хэйрбол  Кэа  0,4 кг;12;346;
386754;Хэйрбол  Кэа 10кг;1;6908;
386752;Хэйрбол  Кэа 2 кг;6;1507;
402904;Эйджинг+12  0,4 кг;12;311;
402020;Эйджинг+12  2 кг;6;1352;
402021;Эйджинг+12  4 кг;4;2587;
;Wet;;;
422759;Бебикэт Инстинктив 195 гр;12;97;
443727;Британская короткошерстная 85 гр;12;58;
386760;Дайджест Сенситив 85 гр;12;58;
402017;Инстинктив +7 85 гр;12;58;
386758;Инстинктив в желе 85 гр;12;58;
386759;Инстинктив в соусе 85;24;58;
419165;Инстинктив паштет 85 гр;12;58;
426779;Интенс Бьюти в желе 85 гр;12;58;
386762;Интенс Бьюти в соусе 85 гр;24;58;
426778;Киттен в желе 85 гр;12;58;
386757;Киттен в соусе 85 гр;12;58;
475067;Киттен Мейн кун соус 85 гр;12;61;
459285;Киттен паштет 85 гр;12;58;
443726;Киттен Стерилайз в желе 85 гр;12;58;
446885;Киттен Стерилайз в соусе 85 гр;12;58;
443729;Мейн кун соус 85 гр;12;61;
463389;Персиан паштет 85 гр;12;61;
426782;Стерилайзд  в желе 85 гр;12;58;
414498;Стерилайзд в соусе 85 гр;24;58;
434566;Стерилайзд паштет  85 гр;12;58;
426781;Ультра Лайт в желе 85 гр;12;58;
386761;Ультра Лайт в соусе 85 гр;12;58;
386756;Уринари Кэа соус 85 гр;12;58;
434564;Хэйрбол Кэа соус 85 гр;12;58;
426783;Эйджинг+12 в желе 85 гр;12;58;
402022;Эйджинг+12 в соусе 85 гр;12;58;
;Saze Health Nutrition;;;
;Breed Canin;;;
386966;Бигль Эдалт 3 кг;4;1452;
412435;Боксёр 12 кг*;1;4598;
386939;Бульдог   3 кг;4;1452;
386940;Бульдог  12кг;1;4598;
386957;Голден Ретривер   3 кг;4;1379;
386958;Голден Ретривер  12 кг;1;4598;
386946;Далматин  12 кг;1;4598;
386962;Джерман Шеферд   3 кг;4;1379;
476206;Джерман Шеферд  11 кг;1;4215;
386960;Джерман Шеферд Юниор   3 кг;4;1525;
386961;Джерман Шеферд Юниор  12 кг;1;4939;
386895;Йоркшир. терьер    0,5 кг;10;324;
386896;Йоркшир. терьер   1,5 кг;6;856;
406925;Йоркшир. терьер   3 кг;4;1541;
386898;Йоркшир. терьер  7,5 кг;1;3800;
386893;Йоркшир. терьер Паппи   0,5 кг;10;353;
386894;Йоркшир. терьер Паппи  1,5 кг;6;929;
386926;Кокер  3 кг;4;1463;
386952;Лабрадор Ретривер   3 кг;4;1379;
386953;Лабрадор Ретривер  12 кг;1;4598;
386950;Лабрадор Ретривер Юниор  3 кг;4;1525;
386951;Лабрадор Ретривер Юниор 12 кг;1;4939;
386918;Миниатюрный Шнауцер  3 кг;4;1715;
386916;Мопс  0,5 кг;10;324;
386915;Мопс 1,5 кг;6;856;
417911;Мопс Эдалт 7,5 кг;4;3765;
417178;Мопс Паппи 1,5 кг;6;929;
386905;Пудель   0,5 кг;10;324;
386903;Пудель Юниор  0,5 кг;10;353;
386967;Ротвейлер  12 кг;1;4293;
386900;Такса Эдалт 1,5 кг;6;856;
386901;Такса Эдалт 7,5 кг;1;3063;
386902;Такса Юниор 1,5 кг;6;929;
417623;Французский Бульдог Эдалт 3кг;4;1452;
450415;Французский Бульдог Эдалт 9кг;1;3964;
395123;Французский Бульдог Юниор  10кг;1;4266;
419444;Французский Бульдог Паппи 3 кг;4;1478;
386890;Чихуахуа   0,5 кг;10;324;
386891;Чихуахуа  1,5 кг;6;856;
443333;Чихуахуа  3 кг;4;1541;
386888;Чихуахуа Паппи 0,5 кг;10;353;
386889;Чихуахуа Юниор 1,5 кг;6;929;
386909;Ши тцу   0,5 кг;10;324;
386911;Ши тцу  1,5 кг;6;856;
;Giant;;;
468591;Джаинт Паппи   3,5 кг;4;1367;
386863;Джаинт Паппи  15 кг;1;4871;
394714;Джаинт Стартер  4 кг;4;1497;
394715;Джаинт Стартер 15 кг;1;4915;
386870;Джаинт Эдалт    4 кг;4;1363;
386871;Джаинт Эдалт   15 кг;1;4398;
386862;Джаинт Юниор    3,5 кг;4;1367;
386867;Джаинт Юниор  15 кг;1;4871;
;Maxi;;;
448039;Макси  Дайджестив кэа 3 кг;1;1348;
386850;Макси Дайджестив кэа 15 кг;1;5726;
386842;Макси Дерма Комфорт   3 кг;4;1342;
475200;Макси Дерма Комфорт  10 кг;1;3996;
450991;Макси Джойнт кэа 10 кг;1;3950;
476306;Макси Лайт  10;1;3396;
450023;Макси Паппи 3 кг;4;1364;
440875;Макси Паппи 15 кг;1;5515;
394708;Макси Стартер  4 кг;4;1688;
394709;Макси Стартер 15 кг;1;5462;
440360;Макси Эдалт  3 кг;4;1195;
386837;Макси Эдалт 15 кг;1;4738;
410690;Макси Эдалт 5 + 15кг;1;4873;
411229;Макси Эйджинг 8+ 15 кг;1;4989;
;Medium;;;
449167;Медиум Дайджестив кеа  3 кг;4;1367;
386827;Медиум Дайджестив кеа 15 кг;1;5845;
386822;Медиум Дерма Комфорт  3 кг;4;1367;
386823;Медиум Дерма Комфорт 10 кг;1;3906;
386826;Медиум Лайт Вейт кеа 3 кг;4;1304;
410691;Медиум Паппи  3 кг;4;1365;
468886;Медиум Паппи 15 кг;1;5736;
394705;Медиум Стартер  4 кг;8;1770;
386816;Медиум Эдалт   3кг;4;1151;
386819;Медиум Эдалт 15 кг;1;4858;
413060;Медиум Эдалт 7+ 15кг;1;4972;
445048;Медиум Эдалт 7+ 4 кг;8;1585;
413062;Медиум Эйджинг 10+ 15 кг;1;5166;
;Mini;;;
467778;ИКС- Смол Паппи 0,5 кг;10;291;
442783;ИКС- Смол Паппи 1,5 кг;6;792;
444784;ИКС- Смол Паппи 3 кг;4;1454;
433935;ИКС- Смол Стерилайзд Эдалт  0,5 кг;12;299;
386802;ИКС- Смол Эдалт  0,5 кг;10;253;
386803;ИКС- Смол Эдалт 1,5 кг;6;697;
406974;ИКС- Смол Эдалт 3 кг;4;1279;
406981;ИКС- Смол Эдалт+8  0,5 кг;12;263;
476062;Мини Дайджестив кеа 1 кг;8;598;
475994;Мини Дайджестив кеа 3 кг;4;1651;
475197;Мини Дерма Комфорт   1 кг;8;598;
475198;Мини Дерма Комфорт   3 кг;4;1651;
422762;Мини Дентал 1 кг;8;598;
441818;Мини Дентал 3 кг;4;1651;
471683;Мини Индор Паппи 0,5 кг;12;346;
468311;Мини Индор Эдалт 0,5 кг;12;312;
467994;Мини Индор Эдалт 3 кг;4;1439;
406980;Мини Коат Кэа 1 кг;8;598;
422416;Мини Коат Кэа 3 кг;4;1651;
475199;Мини Лайт Вейт кэа 1 кг;8;598;
475018;Мини Лайт Вейт кэа 3 кг;4;1651;
468312;Мини Паппи  0,8 кг;10;428;
468446;Мини Паппи  2 кг;6;957;
468313;Мини Паппи  4 кг;4;1882;
474612;Мини Релакс 1 кг;8;598;
474613;Мини Релакс 3 кг;4;1651;
394697;Мини Стартер 1 кг;8;532;
394698;Мини Стартер 3 кг;4;1435;
394699;Мини Стартер 8,5 кг;1;3838;
442791;Мини Стерилайз эдалт 4 кг;4;1962;
442790;Мини Уринари Кэа 1 кг;8;598;
474614;Мини Уринари Кэа 3 кг;4;1651;
386799;Мини Эдалт +8 2 кг;6;883;
408138;Мини Эдалт 0,8 кг;10;377;
386796;Мини Эдалт 2 кг;6;867;
412437;Мини Эдалт 4 кг;4;1721;
386797;Мини Эдалт 8 кг;1;3151;
475016;Мини Эксиджент 1 кг;8;598;
475017;Мини Эксиджент 3 кг;4;1651;
;Nutritional Supplement;;;
392171;Эдьюк 50 /30/;30;50;
409793;Энерджи  50 /30/;30;50;
;Pro;;;
386681;Бебикэт   милк 0,3 кг;10;1221;
386874;Бэбидог Милк  0,4 кг;18;1119;
386875;Бэбидог Милк 2 кг;1;3626;
445042;Клуб Энерджи ХЕ ПРО 20 кг;1;3954;
444928;Клуб Эдалт ЦЦ ПРО 20 кг;1;3750;
386682;Квин  4 кг;4;2072;
386683;Квин 10кг;1;4838;
;Synotechnigue;;;
474425;Дайджестив Кэа канин эдалт (паштет) 12*0,085 кг;12;66;
474423;Дерма Комфорт канин эдалт (паштет) 12*0,085 кг;12;66;
427310;Йоркширский терьер паштет 85 гр;12;61;
474422;Коат Кэа канин эдалт (паштет) 12*0,085 кг;12;66;
474424;Лайт Вейт Кэа канин эдалт (паштет) 12*0,085 кг;12;66;
450989;Макси Паппи (соус) 10Х0,140 кг;10;66;
450988;Макси Эдалт (соус) 10Х0,140 кг;10;66;
471260;Макси Эйджинг 8+ (соус) 10Х0,140 кг;10;66;
416076;Матюр 8+ Мусс 0,195 кг;12;87;
471258;Медиум Паппи (соус) 10Х0,140 кг;10;66;
471259;Медиум Эдалт (соус) 10Х0,140 кг;10;66;
471261;Медиум Эйджинг 10+ (соус) 10Х0,140 кг;10;66;
450987;Мини Паппи (соус) 12Х0,085 кг;12;51;
471263;Мини Эдалт (соус)  12Х0,085 кг;12;51;
471262;Мини Эйджинг 12+ (соус) 12Х0,085 кг;12;51;
443738;Пудель паштет 85 гр;12;61;
471684;Стартер (паштет) 12x195г;12;86;
47726;Стерилайзд канин эдалт (паштет) 12*0,085 кг;12;66;
422640;Такса паштет 85г;12;61;
474635;Уринари Кэа канин эдалт (паштет) 12*0,085 кг;12;61;
445047;Чихуахуа паштет 85 гр;12;61;
416073;Эдалт Бьюти Мусс 0,195 кг;12;87;
416074;Эдалт Лайт Мусс 0,195 кг;12;87;
474428;Эксиджент Кэа канин эдалт (паштет) 12*0,085 кг;12;66;
416075;Юниор Мусс  0,195 кг;12;87;
;Urban Life;;;
416070;Урбан лайф Юниор соус 0,150 кг;10;73;
;Veterinary diet;;;
;Neutered Cat Dry;;;
440372;Ньютрид Сатаети Бэлэнс 0,4 кг;10;357;
442391;Ньютрид Сатаети Бэлэнс 1,5 кг;6;1142;
387133;Ньютрид Янг Мэйл   0,4 кг;12;334;
387134;Ньютрид Янг Мэйл  1,5 кг;6;1069;
387135;Ньютрид Янг Мэйл  3,5 кг;4;2324;
387136;Ньютрид Янг Мэйл 10 кг;1;6326;
387140;Ньютрид Янг Фимэйл   0,4 кг;12;334;
387139;Ньютрид Янг Фимэйл  1,5 кг;6;1069;
441005;Ньютрид Янг Фимэйл  10 кг;1;6326;
387138;Ньютрид Янг Фимэйл  3,5 кг;4;2346;
414306;Сеньор Консалт Стэйдж 1 0,4 кг;10;337;
468162;Сеньор Консалт Стэйдж 1 10 кг;1;6201;
415716;Сеньор Консалт Стэйдж 1 1,5 кг;6;1079;
414308;Сеньор Консалт Стэйдж 2 0,4 кг;10;337;
427355;Сеньор Консалт Стэйдж 2 1,5 кг;6;1079;
476715;Скин Энд Коат (фелин) 0,4 кг;12;355;
476716;Скин Энд Коат (фелин) 1,5 кг;6;1185;
476717;Скин Энд Коат (фелин) 3,5 кг;4;2371;
;Vet Diet Can-Dog;;;
419507;Гастро Интестинал Канин 0,2 кг;12;127;
387094;Гастро Интестинал Канин 0,4 кг;12;222;
419506;Гастро Интестинал Лоу Фет Канин 0,2;12;127;
387095;Гастро Интестинал Лоу Фет Канин 0,41 кг;12;222;
419505;Гепатик Канин 0,2 кг;12;127;
387096;Гепатик Канин 0,42 кг;12;222;
419508;Гипоаллердженик канин   0,2 кг;12;127;
410689;Гипоаллердженик канин   0,4 кг;12;222;
387092;Диабетик Канин 0,41 кг;12;222;
401614;Кардиак  0,41 кг;12;222;
387101;Рекавери Фелин/ Канин 0,195 кг;12;117;
419509;Ренал Канин 0,2 кг;12;127;
387097;Ренал Канин 0,41 кг;12;222;
387093;Сенситив Контрол Канин 0,42 кг;12;222;
387091;Сетаети Вейт Менеджмент (канин) 0,41 кг;12;222;
419510;Уринари Канин 0,2 кг;12;127;
387098;Уринари Канин 0,41 кг;12;222;
;Vet Diet Canin Dry-Dog;;;
409544;Аналлердженик АН 18 (канин) 3 кг;4;2420;
409545;Аналлердженик АН 18 (канин) 8 кг;1;5686;
387028;Гастро Интестинал Канин  2 кг;6;1491;
387030;Гастро Интестинал Канин 14кг;1;7857;
387033;Гастро Интестинал Лоу Фет  1,5 кг;6;1160;
387031;Гастро Интестинал Лоу Фет 12кг !;1;6985;
387027;Гастро Интестинал Юниор  2,5 кг;6;1950;
387037;Гепатик Канин  1,5 кг;6;1181;
387038;Гепатик Канин  6 кг;1;4272;
387039;Гепатик Канин 12 кг;1;7117;
419445;Гипоаллердженик  Мод Калорие ХМЕ 23 (канин) 1,5 кг;6;1204;
387014;Гипоаллердженик канин   2 кг;6;1533;
387013;Гипоаллердженик канин  7 кг;1;4801;
387012;Гипоаллердженик канин 14 кг;1;8323;
387018;Гипоаллердженик Смол Дог 1 кг;8;805;
387019;Гипоаллердженик Смол Дог 3,5 кг;4;2655;
387056;Дентал Спешиал Смол Дог 2 кг;6;1403;
419504;Диабетик канин 1,5 кг;6;1138;
431509;Диабетик канин 12 кг;1;6855;
387047;Кардиак  2 кг;6;1448;
387048;Кардиак 14 кг;1;8019;
387054;Мобилити МС 25С2Р+ канин 14 кг;1;8162;
475310;Мобилити МС 25С2Р+ канин 7 кг;1;4666;
450097;Мобилити МС 25С2Р+ канин 2 кг;1;1491;
424317;Ньютрид Эдалт 10 кг;1;4150;
387042;Ренал Канин  2 кг;6;1476;
387040;Ренал Канин 14 кг;1;8019;
387020;Сенситив Контрол Канин   1,5 кг;6;1182;
387022;Сенситив Контрол Канин 14 кг;1;8323;
387010;Сетаети Вейт Менеджмент  САТ 30 (канин) 1,5 кг;6;1106;
468310;Сетаети Смол Дог (канин) 1,5 кг;6;1149;
467698;Сетаети Смол Дог (канин) 3 кг;4;2191;
477588;Скин Кеа Смол Дог 2 кг;6;1533;
477587;Скин Саппорт (канин) 2 кг;6;1609;
476413;Скин Саппорт (канин) 7 кг;1;5041;
387043;Уринари Канин  2 кг;6;1386;
387044;Уринари Канин 13 кг;1;7176;
409547;Уринари С/О Смол Дог УСД 20 (канин) 1,5кг;6;1144;
426769;Уринари С/О Смол Дог УСД 20 (канин) 4 кг;4;2681;
387034;Файбр Респонд Канин  2000;6;1504;
;Vet Diet Feline Dry-Cat;;;
387069;Аналлердженик (фелин) 2 кг;6;2132;
387073;Гастро Интестинал Модерат Колори Фелин  0,4 кг;12;453;
387072;Гастро Интестинал Модерат Колори Фелин 2 кг;6;1904;
387070;Гастро Интестинал Фелин  0,4 кг;12;441;
387071;Гастро Интестинал Фелин 2 кг;6;1851;
402023;Гепатик ХФ 26 Фелин   0,5 кг;12;581;
402024;Гепатик ХФ 26 Фелин 2 кг;6;1931;
387065;Гипоаллердженик Фелин  0,5 кг;12;605;
387066;Гипоаллердженик Фелин 2,5 кг;6;2469;
387490;Дентал Фелин 1,5 кг;6;1382;
387063;Диабетик Фелин  0,4 кг;12;447;
387064;Диабетик Фелин 1,5 кг;6;1381;
423449;Кальм ЦЦ 36 фелин  0,5 кг;12;581;
423450;Кальм ЦЦ 36 фелин 2 кг;6;1949;
387087;Мобилити Фелин  0,5 кг;12;581;
387088;Мобилити Фелин 2 кг;6;1931;
438724;Ренал Селект Фелин  0,5 кг;12;573;
438725;Ренал Селект Фелин 2 кг;6;1954;
438726;Ренал Спешиал РСФ 26 Фелин  0,5 кг;12;573;
438727;Ренал Спешиал РСФ 26 Фелин 2 кг;6;1917;
387077;Ренал Фелин  0,5 кг;12;552;
387076;Ренал Фелин 2 кг;6;1954;
387078;Ренал Фелин 4 кг;4;3392;
387067;Сенситив Контрол Фелин  0,4 кг;12;486;
387068;Сенситив Контрол Фелин 1,5 кг;6;1490;
387060;Сетаети Вейт Менеджмент (фелин)  0,56кг;7;585;
387061;Сетаети Вейт Менеджмент (фелин) 1,5 кг;6;1435;
440888;Уринари С/О Модерейт Кэлори (фелин) 0,4 кг;12;405;
440382;Уринари С/О Модерейт Кэлори (фелин) 1,5 кг;6;1242;
440890;Уринари С/О Модерейт Кэлори (фелин) 7 кг;1;5212;
387080;Уринари Фелин  0,4 кг;12;405;
387081;Уринари Фелин 1,5 кг;6;1242;
427618;Уринари Фелин 3,5 кг;4;2697;
451980;Уринари Фелин 7 кг;1;5212;
387074;Файбр Респонд Фелин  0,4 кг;12;478;
387075;Файбр Респонд Фелин 2 кг;6;2000;
;Vet Diet Pouch-Cat;;;
475201; Гематурия Детекшн 2*0,02 кг;1;1310;
387108;Гастро Интестинал Модерат Колори Фелин 0,1 кг;12;72;
387107;Гастро Интестинал Фелин 0,1 кг;12;72;
414497;Диабетик ДС 46 (фелин) 0,1 кг;12;72;
409794;Ньютрид Вэйт Баланс 0,1 кг;12;68;
387117;Ньютрид Эдалт Мейнтенэнс 0,1 кг;12;68;
387109;Ренал с цыплёнком (фелин) 0,085кг пауч;12;72;
438729;Ренал с говядиной (фелин) 0,085кг пауч;12;72;
387110;Ренал с тунцом (фелин)  0,085 кг пауч;12;72;
421757;Ренал с цыплёнком (фелин) 0,195 кг;12;117;
387103;Сатаети вейт менеджмент фелин 0,085 кг;12;72;
387104;Сенситив Контрол Фелин 0,1 кг;12;72;
472979;Сеньор Консалт Стэйдж 1 0,1 кг;12;68;
410843;Сеньор Консалт Стэйдж 2 Фелин 0,1 кг;12;68;
410844;Скин энд Коат Коат Формула Фелин 0,1 кг;12;68;
440370;Уринари С/О Модерейт Кэлори (фелин) соус 12*85г;12;72;
474377;Уринари Фелин паштет 85 гр;12;72;
474376;Уринари Фелин соус 85 гр;12;72;
